"Name","Phone","Website","Primary Email","Secondary Emails","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Midtown Med Spa","+1 416-440-0080","https://www.midtownmedspa.ca/","info@midtownmedspa.ca","","is the Medical","Owner","4.7","102","HIGH","65","good","toronto","Med spa"
"North Medical Spa","+1 416-901-6672","https://northmedicalspa.com/","hello@northmedicalspa.com","oakville@northmedicalspa.com; collingwood@northmedicalspa.com","Amanda Mizen","Owner","4.8","324","MEDIUM","50","good","toronto","Med spa"
"Rejuuv Medi Spa","+1 416-929-2992","https://rejuuvmedispa.com/","customercare@rejuuvmedispa.com","","creator and Medical","Owner","4.9","357","MEDIUM","50","good","toronto","Med spa"
"Dermapure Toronto Yorkville (Formerly Glow Medi Spa)","+1 647-952-1982","https://www.dermapure.com/en/locations/toronto/yorkville/?utm_source=google&utm_medium=organic","infotorontoyorkville@dermapure.com","infocalgary@dermapure.ca","IN NEWMARKET","Owner","4.8","145","HIGH","65","good","toronto","Med spa"
"Starlight Med Spa - Toronto's #1 Beauty Clinic","+1 416-532-6200","https://www.starlightmedspa.com/","info@starlightmedspa.com","","MESSAGE FROM OUR","Owner","4.9","477","MEDIUM","50","good","toronto","Med spa"
"Med Spa Toronto - Rejuvenation Med Clinic","+1 855-698-1448","https://rejuvenationmedspa.ca/?utm_campaign=gmb","","","","","4.3","287","HIGH","65","basic","toronto","Med spa"
"A Medical Spa Inc. 一间瑿美 医美诊所","+1 437-997-1299","http://a-medical-spa.com/","info@a-medical-spa.com","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; 88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com; dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com; c183baa23371454f99f417f6616b724d@sentry.wixpress.com; 9a65e97ebe8141fca0c4fd686f70996b@sentry.wixpress.com; 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com","","","4.9","60","HIGH","75","good","toronto","Med spa"
"MedVSpa","+1 647-460-4585","http://medvspa.com/","info@medvspa.com","","Aesthetic Injector
MedVSPA","Owner","4.8","134","HIGH","65","good","toronto","Med spa"
"Skin6: Toronto Medical Spa","+1 647-460-4585","http://medvspa.com/","info@medvspa.com","","Aesthetic Injector
MedVSPA","Owner","","","HIGH","85","good","toronto","Med spa"
"Eon Medical Spa","+1 416-723-5553","http://www.eonmedicalspa.com/","info@eonmedicalspa.com","","TREATMENT
VAMPIRE FACIAL","Owner","4.7","128","HIGH","65","good","toronto","Med spa"
"VitalityMD Medical Spa Toronto","+1 416-792-1100","http://www.vitalitymd.com/","operations@vitalitymd.com","","","","4.7","129","HIGH","65","good","toronto","Med spa"
"Royal York Spa - Holistic Medical Spa","+1 647-856-4064","http://www.royalyorkspa.com/","info@anutkaesthetics.ca","royalyorkspa@gmail.com","Meet the","Owner","4.9","233","MEDIUM","55","good","toronto","Med spa"
"Jiva Spa Toronto","+1 416-934-0100","http://jivamedspa.ca/","appointment@jivaspa.ca","","","","4.8","128","HIGH","65","good","toronto","Med spa"
"30 Hazelton Med Spa Toronto","+1 647-557-9015","https://30hazeltonmedspa.com/?utm_campaign=gmb&utm_content=30-hazelton-med-spa-toronto&utm_medium=organic&utm_source=google","info@30hazelton.com","","consultation with the","Owner","4.9","95","HIGH","75","good","toronto","Med spa"
"Clinique De Mode | Downtown","+1 416-551-3551","http://cliniquedemode.com/","","","","","4.9","576","MEDIUM","50","basic","toronto","Med spa"
"Victoria Park Medispa - Toronto Bay","+1 647-812-0332","https://vicpark.com/clinics/toronto/","info@visabellemed.ca","infotoronto@vicpark.com; infoaylmer@vicpark.com; medispa@vicpark.com; infogatineau@vicpark.com; inforeflet@vicpark.com; infoquebec@vicpark.com; infotroisrivieres@vicpark.com; infobarrie@vicpark.com; infokanata@vicpark.com; infomidland@vicpark.com; infoottawa@vicpark.com; infopeterborough@vicpark.com; infogrant@vicpark.com; infowinnipeg@vicpark.com","DERMATOLOGIST AND MEDICAL","Owner","4.7","134","HIGH","65","good","toronto","Med spa"
"POSH Medical Spa","+1 289-300-0444","https://www.poshmedicalspa.ca/","info@poshmedicalspa.ca","","","","4.4","394","MEDIUM","60","good","toronto","Med spa"
"Medica Laser Spa","+1 416-301-5647","http://www.medicalaserspa.ca/","medicalaserspatoronto@gmail.com","example@mail.com","","","4.6","239","MEDIUM","55","good","toronto","Med spa"
"Skin Solutions Toronto MediSpa","+1 416-301-5647","http://www.medicalaserspa.ca/","medicalaserspatoronto@gmail.com","example@mail.com","","","","","HIGH","85","good","toronto","Med spa"
"Aionios Med Spa","+1 647-699-4767","http://www.skinsolutionstoronto.com/","info@skinsolutionstoronto.com","impallari@gmail.com; team@latofonts.com","contact the site","Owner","","","HIGH","85","good","toronto","Med spa"
"Yorkville Unique Spa","+1 800-840-8506","https://www.aioniosmedspa.com/","info@aioniosmedspa.com","","","","","","HIGH","85","good","toronto","Med spa"
"Living Waters Therapies","+1 416-469-2100","https://livingwaterstherapies.ca/","info@livingwaterstherapies.com","info@livingwaterstherapies.ca","Leanne Loughlin","Owner","4.6","121","HIGH","65","good","toronto","Med spa"
"The Beauty Lounge Toronto","+1 647-812-0332","https://vicpark.com/clinics/toronto/","info@visabellemed.ca","infotoronto@vicpark.com; infoaylmer@vicpark.com; medispa@vicpark.com; infogatineau@vicpark.com; inforeflet@vicpark.com; infoquebec@vicpark.com; infotroisrivieres@vicpark.com; infobarrie@vicpark.com; infokanata@vicpark.com; infomidland@vicpark.com; infoottawa@vicpark.com; infopeterborough@vicpark.com; infogrant@vicpark.com; infowinnipeg@vicpark.com","DERMATOLOGIST AND MEDICAL","Owner","","","HIGH","85","good","toronto","Med spa"
"Skin Solutions Toronto MediSpa","+1 647-699-4767","http://www.skinsolutionstoronto.com/","info@skinsolutionstoronto.com","impallari@gmail.com; team@latofonts.com","contact the site","Owner","4.9","148","HIGH","65","good","toronto","Med spa"
