"Name","Phone","Website","Primary Email","Owner Name","Owner Role","Rating","Reviews","Intent","Lead Score","Website Quality","City","Niche"
"Med Spa Of Americus","+1 229-924-9418","http://themedspaofamericus.com/","themedspaofamericus@gmail.com [risky]","","","4.8","24","MEDIUM","85","","Abbeville, GA, US","Medical Spa"
"Spa Medical","+1 478-796-9711","https://www.spamedical.com/","info@spamedicalmacon.com [risky]","Director and Co","","5.0","55","LOW","75","","Abbeville, GA, US","Medical Spa"
"Envy Med Spas","+1 229-744-7809","http://envymedspas.com/","","","","4.4","36","HIGH","95","","Abbeville, GA, US","Medical Spa"
"Muse Aesthetics (formerly Georgia Center MedSpa)","+1 229-231-1643","http://www.museaestheticsga.com/","info@museaestheticsga.com [risky]","","","4.6","28","MEDIUM","85","","Abbeville, GA, US","Medical Spa"
"Innovations Wellness & MedSpa","+1 770-490-5055","http://www.innovationswellnessmedspa.com/","","","","5.0","2","HIGH","85","","Acworth, GA, US","Medical Spa"
"Hand & Stone Massage and Facial Spa","+1 943-230-5872","https://handandstone.com/locations/dallas/?utm_source=google&utm_medium=organic&utm_campaign=businesslisting","appt.dallas-ga@handandstone.com [risky]","Franchise","","5.0","126","LOW","65","","Acworth, GA, US","Medical Spa"
"Bloom Health and Wellness","+1 404-348-0530","https://bloomhealthandwellness.com/","hello@bloomgeorgia.com [risky]","in your health","","","0","MEDIUM","85","","Acworth, GA, US","Medical Spa"
"The Spa House","+1 770-675-3859","http://www.thespahouse.org/","","","","4.7","171","MEDIUM","55","","Acworth, GA, US","Medical Spa"
"Pearl's Spa","+1 770-966-9099","","","","","5.0","227","HIGH","75","","Acworth, GA, US","Medical Spa"
"Governors MedSpa & Concierge Medicine","+1 678-888-5181","http://www.governorsmedicine.com/","","","","4.6","34","HIGH","85","","Acworth, GA, US","Medical Spa"
"Designed4Wellness","+1 678-595-7674","https://www.designed4wellness.us/","info@designed4wellness.us [risky]","ship in Your","","4.8","51","LOW","75","","Acworth, GA, US","Medical Spa"
"Bubolo Medical, LLC","+1 770-975-1299","https://bubolomedical.com/","info@bubolomedical.com [risky]","Vince Bubolo","","4.0","13","MEDIUM","100","","Acworth, GA, US","Medical Spa"
"Whispering Waters Spa","+1 770-975-1299","https://bubolomedical.com/","info@bubolomedical.com [risky]","Vince Bubolo","","","0","MEDIUM","85","","Acworth, GA, US","Medical Spa"
"32 Beauty Med Spa","+1 678-882-4434","https://32medspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","info@32medspa.com [risky]","","","4.9","428","LOW","50","","Acworth, GA, US","Medical Spa"
"Spa La Paz","+1 470-308-3793","http://www.spalapaz.com/","","Hannah Rohan
Spa","","5.0","66","HIGH","75","","Acworth, GA, US","Medical Spa"
"Lake Pointe Wellness Center","+1 770-975-0585","https://georgiaintegrated.com/?utm_source=GBP&utm_medium=organic","example@gmail.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Medical Spa"
"My M.I.S.S. Haven Medical","+1 770-289-3486","","","","","5.0","9","HIGH","100","","Acworth, GA, US","Medical Spa"
"Trilogy Massage","+1 770-415-1212","http://www.trilogymassage.com/","mary@trilogymassage.com [risky]","","","4.0","75","MEDIUM","95","","Acworth, GA, US","Medical Spa"
"WellSpa Med Kennesaw","","https://www.wellspamed.com/","admin@wellspamed.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Medical Spa"
"A Wellness Center & Spa","","https://www.wellnessbycohen.com/","[INVALID] 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","","","5.0","26","MEDIUM","85","","Acworth, GA, US","Medical Spa"
"Natural Healing Massage","+1 404-647-3350","http://www.7hillsmassage.com/","lillian@7hillsmassage.com [risky]","","","4.8","38","MEDIUM","85","","Acworth, GA, US","Medical Spa"
"4Ever Young Med Spa & Wellness Center - Marietta","+1 470-740-6847","","","","","5.0","7","HIGH","100","","Acworth, GA, US","Medical Spa"
"Evolve Energy Therapy LLC","+1 404-632-1217","https://evolveenergytherapy.com/","evolveenrgytherapy@gmail.com [risky]","","","","0","MEDIUM","85","","Acworth, GA, US","Medical Spa"
"Signature Image Atlanta","+1 678-224-7868","http://www.signatureimageatlanta.com/","","","","4.9","287","MEDIUM","55","","Acworth, GA, US","Medical Spa"
"Diamond's Unique Wellness","+1 404-721-7992","http://diamondsuniquewellness.com/","wweeiihhuuaanngg@gmail.com [risky]","","","4.8","66","LOW","75","","Acworth, GA, US","Medical Spa"
"Ultimate Beauty Medspa","","http://www.ultimatemedspa.com/","","","","4.4","193","HIGH","65","","Adairsville, GA, US","Medical Spa"
"Oasis Detox Spa for Women","+1 706-264-7638","","","","","","0","HIGH","100","","Adairsville, GA, US","Medical Spa"
